"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","191","test_password_check_1","Sprint_1.POM.Registration","Mon Jun 23 06:32:32 GMT 2025","passed","Mon Jun 23 06:32:32 GMT 2025","TestTC","test_registration_positive_password","",""
"","1402","test_registration_password[12345678]","Sprint_1.POM.Registration","Mon Jun 23 06:32:01 GMT 2025","broken","Mon Jun 23 06:32:03 GMT 2025","TestTC","test_registration_negative_password","",""
"","211","test_registration_wrong_email[user@-teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:29 GMT 2025","passed","Mon Jun 23 06:31:29 GMT 2025","TestTC","test_registration_negative_email","",""
"","269","test_registration_without_username","Sprint_1.POM.Registration","Mon Jun 23 06:32:22 GMT 2025","passed","Mon Jun 23 06:32:23 GMT 2025","TestTC","test_registration_negative_username","",""
"","269","test_registration_short_username","Sprint_1.POM.Registration","Mon Jun 23 06:32:23 GMT 2025","passed","Mon Jun 23 06:32:24 GMT 2025","TestTC","test_registration_negative_username","",""
"","5569","test_purchase_process_invalid_city","Sprint_1.POM.Purchase","Mon Jun 23 06:30:11 GMT 2025","broken","Mon Jun 23 06:30:16 GMT 2025","TestTC","test_pruchase_process_invalid_city","",""
"","5525","test_registration_username_with_space","Sprint_1.POM.Registration","Mon Jun 23 06:31:08 GMT 2025","broken","Mon Jun 23 06:31:13 GMT 2025","TestTC","test_registration_login_positive","",""
"","5549","test_purchase_process_invalid_email","Sprint_1.POM.Purchase","Mon Jun 23 06:30:36 GMT 2025","broken","Mon Jun 23 06:30:42 GMT 2025","TestTC","test_purchase_process_invalid_email","",""
"","5701","test_purchase_process","Sprint_1.POM.Purchase","Mon Jun 23 06:30:04 GMT 2025","broken","Mon Jun 23 06:30:10 GMT 2025","TestTC","test_mycart","",""
"","5575","test_purchase_process","Sprint_1.POM.Purchase","Mon Jun 23 06:30:30 GMT 2025","broken","Mon Jun 23 06:30:35 GMT 2025","TestTC","test_purchase_process","",""
"","5156","test_delete_product_no","Sprint_1.POM.Admin","Mon Jun 23 06:29:52 GMT 2025","broken","Mon Jun 23 06:29:57 GMT 2025","TestTC","test_p3_3_delete_product","",""
"","5326","test_registration_wrong_email[user@teszt.h]","Sprint_1.POM.Registration","Mon Jun 23 06:31:31 GMT 2025","broken","Mon Jun 23 06:31:36 GMT 2025","TestTC","test_registration_negative_email","",""
"","183","test_password_check_4","Sprint_1.POM.Registration","Mon Jun 23 06:32:35 GMT 2025","passed","Mon Jun 23 06:32:35 GMT 2025","TestTC","test_registration_positive_password","",""
"","213","test_registration_wrong_email[user@teszt.h\xfc]","Sprint_1.POM.Registration","Mon Jun 23 06:31:43 GMT 2025","passed","Mon Jun 23 06:31:43 GMT 2025","TestTC","test_registration_negative_email","",""
"","192","test_registration_wrong_email[user@]","Sprint_1.POM.Registration","Mon Jun 23 06:31:22 GMT 2025","passed","Mon Jun 23 06:31:23 GMT 2025","TestTC","test_registration_negative_email","",""
"","214","test_registration_wrong_email[user@.teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:44 GMT 2025","passed","Mon Jun 23 06:31:44 GMT 2025","TestTC","test_registration_negative_email","",""
"","190","test_password_check_3","Sprint_1.POM.Registration","Mon Jun 23 06:32:34 GMT 2025","passed","Mon Jun 23 06:32:34 GMT 2025","TestTC","test_registration_positive_password","",""
"","5530","test_registration_exist_username","Sprint_1.POM.Registration","Mon Jun 23 06:32:16 GMT 2025","broken","Mon Jun 23 06:32:22 GMT 2025","TestTC","test_registration_negative_username","",""
"","297","test_login_show_password","Sprint_1.POM.Registration","Mon Jun 23 06:31:21 GMT 2025","passed","Mon Jun 23 06:31:22 GMT 2025","TestTC","test_registration_login_positive","",""
"","196","test_registration_wrong_email[user@teszt.]","Sprint_1.POM.Registration","Mon Jun 23 06:31:23 GMT 2025","passed","Mon Jun 23 06:31:24 GMT 2025","TestTC","test_registration_negative_email","",""
"","1417","test_registration_password[Tesztjelszo]","Sprint_1.POM.Registration","Mon Jun 23 06:31:59 GMT 2025","broken","Mon Jun 23 06:32:01 GMT 2025","TestTC","test_registration_negative_password","",""
"","5168","test_update_product","Sprint_1.POM.Admin","Mon Jun 23 06:29:46 GMT 2025","broken","Mon Jun 23 06:29:51 GMT 2025","TestTC","test_p3_2_update_product_positive","",""
"","202","test_registration_wrong_email[user@teszt,hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:24 GMT 2025","passed","Mon Jun 23 06:31:25 GMT 2025","TestTC","test_registration_negative_email","",""
"","212","test_registration_wrong_email[user@teszt@valami.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:28 GMT 2025","passed","Mon Jun 23 06:31:28 GMT 2025","TestTC","test_registration_negative_email","",""
